货号(SKU),款式编码,商品名称,颜色,尺码,售价(¥),库存,图片链接
TNW-1038-L,TNW-1038+1015,扭捏niunie英国陶瓷扣碎花拼接设计100%羊毛呢外套半裙套装女秋冬,灰彩色全羊毛外套,L,799,7,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN015vimVE1GFdxqYS9dc_!!2217590670593.jpg
TNW-1066-棕格L,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,棕色大格子毛呢短裙,L,319,6,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01vkJdAW1GFdxnu1spI_!!2217590670593.jpg
TNW-1066-棕格M,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,棕色大格子毛呢短裙,M,319,5,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01vkJdAW1GFdxnu1spI_!!2217590670593.jpg
TNW-1066-棕格S,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,棕色大格子毛呢短裙,S,319,4,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01vkJdAW1GFdxnu1spI_!!2217590670593.jpg
TNW-1066-灰格L,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,灰咖格毛呢短裙,L,319,1,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN0156NeXW1GFdxtsQrA6_!!2217590670593.jpg
TNW-1066-灰格M,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,灰咖格毛呢短裙,M,319,1,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN0156NeXW1GFdxtsQrA6_!!2217590670593.jpg
TNW-1066-灰格S,TNW-1066,扭捏niunie 复古磨毛加厚双色格子百褶半裙女秋冬拉链中腰短裙,灰咖格毛呢短裙,S,319,0,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN0156NeXW1GFdxtsQrA6_!!2217590670593.jpg
TNW-1026-灰紫M,988287960500,扭捏niunie 原创灯芯绒拼接风衣90白鹅绒服宽松双色羽绒服女冬季,灰紫色90白鹅绒服,M,1599,15,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01X0OYkB1GFdxtQI9X2_!!2217590670593.jpg
TNW-1026-灰紫S,988287960500,扭捏niunie 原创灯芯绒拼接风衣90白鹅绒服宽松双色羽绒服女冬季,灰紫色90白鹅绒服,S,1599,18,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01X0OYkB1GFdxtQI9X2_!!2217590670593.jpg
TNW-1022-蓝M,TNW-1022,扭捏niunie 原创碎花蓝色紫色双面穿 90白鹅绒羽绒服女面包服冬季,淡紫色碎花鹅绒服,M,1699,0,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01LEwkCd1GFdxuLUYPe_!!2217590670593.jpg
TNW-1022-蓝S,TNW-1022,扭捏niunie 原创碎花蓝色紫色双面穿 90白鹅绒羽绒服女面包服冬季,淡紫色碎花鹅绒服,S,1699,0,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01LEwkCd1GFdxuLUYPe_!!2217590670593.jpg
TNW-1022-紫M,TNW-1022,扭捏niunie 原创碎花蓝色紫色双面穿 90白鹅绒羽绒服女面包服冬季,浅蓝色碎花鹅绒服,M,1699,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01UQDPoQ1GFdyf8q7gg_!!2217590670593.jpg
TNW-1022-紫S,TNW-1022,扭捏niunie 原创碎花蓝色紫色双面穿 90白鹅绒羽绒服女面包服冬季,浅蓝色碎花鹅绒服,S,1699,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01UQDPoQ1GFdyf8q7gg_!!2217590670593.jpg
TNW-1026-栗M,TNW-1026,扭捏niunie原创设计可拆卸豹纹领栗子色90白鹅绒保暖羽绒服女冬季,栗子色90白鹅绒服,M,1599,20,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01724Z3D1GFdxodGxy2_!!2217590670593.jpg
TNW-1026-栗S,TNW-1026,扭捏niunie原创设计可拆卸豹纹领栗子色90白鹅绒保暖羽绒服女冬季,栗子色90白鹅绒服,S,1599,19,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01724Z3D1GFdxodGxy2_!!2217590670593.jpg
TNW-1015-M,TNW-1038+1015,扭捏niunie英国陶瓷扣碎花拼接设计100%羊毛呢外套半裙套装女秋冬,灰彩色全羊毛半裙,M,459,6,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01HkMjGd1GFdxr0siAz_!!2217590670593.jpg
TNW-1038-M,TNW-1038+1015,扭捏niunie英国陶瓷扣碎花拼接设计100%羊毛呢外套半裙套装女秋冬,灰彩色全羊毛外套,M,799,5,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN015vimVE1GFdxqYS9dc_!!2217590670593.jpg
TNW-1015-S,TNW-1038+1015,扭捏niunie英国陶瓷扣碎花拼接设计100%羊毛呢外套半裙套装女秋冬,灰彩色全羊毛半裙,S,459,1,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01HkMjGd1GFdxr0siAz_!!2217590670593.jpg
TNW-1038-S,TNW-1038+1015,扭捏niunie英国陶瓷扣碎花拼接设计100%羊毛呢外套半裙套装女秋冬,灰彩色全羊毛外套,S,799,13,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN015vimVE1GFdxqYS9dc_!!2217590670593.jpg
TNW-1065-灰M,TNW-1065,扭捏niunie 复古豹纹领拼接双色打底上衣修身显瘦保暖长袖T恤秋冬,灰色豹纹拼接上衣,M,319,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01wJcGZl1GFdsW6QPHZ_!!2217590670593.jpg
TNW-1065-灰S,TNW-1065,扭捏niunie 复古豹纹领拼接双色打底上衣修身显瘦保暖长袖T恤秋冬,灰色豹纹拼接上衣,S,319,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01wJcGZl1GFdsW6QPHZ_!!2217590670593.jpg
TNW-1065-棕M,TNW-1065,扭捏niunie 复古豹纹领拼接双色打底上衣修身显瘦保暖长袖T恤秋冬,棕色豹纹拼接上衣,M,319,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01NruOcS1GFdxuGZa9y_!!2217590670593.jpg
TNW-1065-棕S,TNW-1065,扭捏niunie 复古豹纹领拼接双色打底上衣修身显瘦保暖长袖T恤秋冬,棕色豹纹拼接上衣,S,319,0,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01NruOcS1GFdxuGZa9y_!!2217590670593.jpg
TNW-0902-M,TNW-0928-0902,扭捏niunie 100%全羊毛棕色毛呢外套碎花拼接双层半裙套装女秋冬,碎花拼接毛呢短裙,M,459,1,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01XhsTNh1GFdxo6hI1k_!!2217590670593.jpg
TNW-0928-M,TNW-0928-0902,扭捏niunie 100%全羊毛棕色毛呢外套碎花拼接双层半裙套装女秋冬,棕色全羊毛外套,M,769,1,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01i4vC8Q1GFdxpQ8ynz_!!2217590670593.jpg
TNW-0902-S,TNW-0928-0902,扭捏niunie 100%全羊毛棕色毛呢外套碎花拼接双层半裙套装女秋冬,碎花拼接毛呢短裙,S,459,1,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01XhsTNh1GFdxo6hI1k_!!2217590670593.jpg
TNW-0928-S,TNW-0928-0902,扭捏niunie 100%全羊毛棕色毛呢外套碎花拼接双层半裙套装女秋冬,棕色全羊毛外套,S,769,1,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01i4vC8Q1GFdxpQ8ynz_!!2217590670593.jpg
TNW-0907-M,TNW-0907,扭捏niunie原创紫色碎花双面穿毛巾布连帽拉链卫衣女宽松开衫外套,紫色碎花双面穿卫衣,M,549,0,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01BCWHxV1GFdxpKku1t_!!2217590670593.jpg
TNW-0907-S,TNW-0907,扭捏niunie原创紫色碎花双面穿毛巾布连帽拉链卫衣女宽松开衫外套,紫色碎花双面穿卫衣,S,549,0,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01BCWHxV1GFdxpKku1t_!!2217590670593.jpg
TNW-1025-M,TNW-1025,扭捏niunie原创设计 复古条纹直筒休闲裤宽松显瘦阔腿裤长裤女,条纹休闲裤,M,369,7,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01GHGMes1GFdyL84IxU_!!2217590670593.jpg
TNW-1025-S,TNW-1025,扭捏niunie原创设计 复古条纹直筒休闲裤宽松显瘦阔腿裤长裤女,条纹休闲裤,S,369,7,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01GHGMes1GFdyL84IxU_!!2217590670593.jpg
NN-2523-M,NN-2523,扭捏niunie原创设计丝绒格子碎花拼接半身裙宽松中腰A字中长裙,紫色丝绒拼接半裙,M,399,19,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01Womm751GFdyKz1kKk_!!2217590670593.jpg
NN-2523-S,NN-2523,扭捏niunie原创设计丝绒格子碎花拼接半身裙宽松中腰A字中长裙,紫色丝绒拼接半裙,S,399,17,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01Womm751GFdyKz1kKk_!!2217590670593.jpg
NN2551-棕M,NN2551-棕,扭捏niunie原创设计{爱读书的小猫}浅棕色圆领套头百搭针织毛衣女,浅棕色小猫毛衣,M,369,13,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01SEVO7y1GFdxQhadvN_!!2217590670593.jpg
NN2551-棕S,NN2551-棕,扭捏niunie原创设计{爱读书的小猫}浅棕色圆领套头百搭针织毛衣女,浅棕色小猫毛衣,S,369,6,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01SEVO7y1GFdxQhadvN_!!2217590670593.jpg
TN-1067-绿M,TN-1067,扭捏niunie原创设计复古叠穿苔藓绿羊羔毛马甲背心休闲百搭上衣女,苔藓绿羊羔毛马甲,M,469,8,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01Y2FkAx1GFdyLoBGdT_!!2217590670593.jpg
TN-1067-绿S,TN-1067,扭捏niunie原创设计复古叠穿苔藓绿羊羔毛马甲背心休闲百搭上衣女,苔藓绿羊羔毛马甲,S,469,9,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01Y2FkAx1GFdyLoBGdT_!!2217590670593.jpg
NN2551-蓝M,NN2551-蓝,扭捏niunie原创设计{爱读书的小猫}蓝色圆领套头百搭针织毛衣女,蓝色小猫毛衣,M,369,10,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01iGs4Ko1GFdxS4uOcR_!!2217590670593.jpg
NN2551-蓝S,NN2551-蓝,扭捏niunie原创设计{爱读书的小猫}蓝色圆领套头百搭针织毛衣女,蓝色小猫毛衣,S,369,11,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01iGs4Ko1GFdxS4uOcR_!!2217590670593.jpg
TN-1067-紫M,TN-1067,扭捏niunie原创设计复古叠搭彩色格子紫色羊羔毛马甲休闲百搭上衣,紫色羊羔毛马甲,M,469,21,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01rjhVF31GFdyKzBcj6_!!2217590670593.jpg
TN-1067-紫S,TN-1067,扭捏niunie原创设计复古叠搭彩色格子紫色羊羔毛马甲休闲百搭上衣,紫色羊羔毛马甲,S,469,26,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01rjhVF31GFdyKzBcj6_!!2217590670593.jpg
NN2534-L,NN2534,扭捏niunie 文艺复古棕色系格子大口袋半身裙中腰显瘦全棉中长裙,棕色系拼色格子半裙,L,369,3,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN012vmpOo1GFdwwmyweb_!!2217590670593.jpg
NN2533-L,NN2533,【秋天的童话】原创巴恩风剪花小格子重工半身裙复古中长裙女秋款,彩色剪花小格子半身裙,L,429,15,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01g52yMQ1GFdx0brzbm_!!2217590670593.jpg
,NN2530,扭捏niunie 小浣熊松鼠趣味提花蓝色长袖衬衫宽松全棉纽扣上衣女,定制面料 需要等待,M,339,4,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RZwv0i1GFdxBBivtA_!!2217590670593.jpg
,NN2530,扭捏niunie 小浣熊松鼠趣味提花蓝色长袖衬衫宽松全棉纽扣上衣女,定制面料 需要等待,S,339,8,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RZwv0i1GFdxBBivtA_!!2217590670593.jpg
,NN2536,扭捏niunie 多巴胺提花蓝色慵懒风休闲长裤宽松显瘦百搭直筒裤女,定制面料 需要等待,M,319,1,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RZwv0i1GFdxBBivtA_!!2217590670593.jpg
,NN2536,扭捏niunie 多巴胺提花蓝色慵懒风休闲长裤宽松显瘦百搭直筒裤女,定制面料 需要等待,S,319,0,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RZwv0i1GFdxBBivtA_!!2217590670593.jpg
TNW-0702-褐L,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,茶褐色天丝羊毛长袖t,L,299,2,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01yjUReo1GFdx1hYVgl_!!2217590670593.jpg
TNW-0702-绿L,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,草绿色天丝羊毛长袖t,L,299,5,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN019qHJlo1GFdx12brW4_!!2217590670593.jpg
TNW-0702-褐M,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,茶褐色天丝羊毛长袖t,M,299,3,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01yjUReo1GFdx1hYVgl_!!2217590670593.jpg
TNW-0702-绿M,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,草绿色天丝羊毛长袖t,M,299,7,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN019qHJlo1GFdx12brW4_!!2217590670593.jpg
TNW-0702-褐S,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,茶褐色天丝羊毛长袖t,S,299,3,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01yjUReo1GFdx1hYVgl_!!2217590670593.jpg
TNW-0702-绿S,TNW-0702,扭捏niunie 乐谱印花复古长袖T恤进口美利奴羊毛天丝修身内搭上衣,草绿色天丝羊毛长袖t,S,299,10,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN019qHJlo1GFdx12brW4_!!2217590670593.jpg
TNW-0915-M,TNW-0802,扭捏niunie法式复古撞色拼接衬衫澳洲进口美利奴羊毛缩绒工艺上衣,浅绿色花苞裙,M,499,3,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN01wihPxS1GFdwvCQXKy_!!2217590670593.jpg
TNW-0915-S,TNW-0802,扭捏niunie法式复古撞色拼接衬衫澳洲进口美利奴羊毛缩绒工艺上衣,浅绿色花苞裙,S,499,3,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN01wihPxS1GFdwvCQXKy_!!2217590670593.jpg
TNW-1010-M,TNW-1010,扭捏niunie 复古vintage格子碎花拼接半身裙修身显瘦田园风中长裙,格子碎花拼接半裙,M,439,4,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01eVMZOI1GFdsWomFSu_!!2217590670593.jpg
TNW-1010-S,TNW-1010,扭捏niunie 复古vintage格子碎花拼接半身裙修身显瘦田园风中长裙,格子碎花拼接半裙,S,439,6,https://img.alicdn.com/bao/uploaded/i4/2217590670593/O1CN01eVMZOI1GFdsWomFSu_!!2217590670593.jpg
TNW-0918-M,TNW-0918,【我只想睡觉】原创印花圆领毛巾卫衣复古宽松上衣 扭捏niunie,撞色圆领卫衣,M,299,7,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01uKNQeD1GFdwzZUDc8_!!2217590670593.jpg
TNW-0918-S,TNW-0918,【我只想睡觉】原创印花圆领毛巾卫衣复古宽松上衣 扭捏niunie,撞色圆领卫衣,S,299,11,https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01uKNQeD1GFdwzZUDc8_!!2217590670593.jpg
NN2536-M,NN2536,扭捏niunie 多巴胺提花蓝色慵懒风休闲长裤宽松显瘦百搭直筒裤女,蓝色提花宽松长裤,M,319,2,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RQaGbH1GFdwvGSLnf_!!2217590670593.jpg
NN2536-S,NN2536,扭捏niunie 多巴胺提花蓝色慵懒风休闲长裤宽松显瘦百搭直筒裤女,蓝色提花宽松长裤,S,319,0,https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01RQaGbH1GFdwvGSLnf_!!2217590670593.jpg
NN2535-M,NN2535,扭捏niunie复古双层荷叶边绿色皱褶设计长袖衬衫收腰显瘦系带上衣,双层荷叶边绿色衬衫,M,339,10,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN01qbhRsy1GFdx02nM70_!!2217590670593.jpg
NN2535-S,NN2535,扭捏niunie复古双层荷叶边绿色皱褶设计长袖衬衫收腰显瘦系带上衣,双层荷叶边绿色衬衫,S,339,2,https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN01qbhRsy1GFdx02nM70_!!2217590670593.jpg
